id,name,price,category,desc,image
p001,極簡抱枕,1700,居家生活,這款極簡抱枕兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_home.png
p002,頂級隨身碟,700,科技酷玩,這款頂級隨身碟兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_tech.png
p003,天然水壺,300,戶外休閒,這款天然水壺兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_outdoor.png
p004,防潑水鋼筆套組,1150,禮品精選,這款防潑水鋼筆套組兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_gift.png
p005,人體工學口紅膠,2000,辦公文具,這款人體工學口紅膠兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_office.png
p006,智能防曬乳,850,美容保養,這款智能防曬乳兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_beauty.png
p007,防潑水抱枕,750,居家生活,這款防潑水抱枕兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_home.png
p008,無印風滑鼠,900,科技酷玩,這款無印風滑鼠兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_tech.png
p009,高質感隨身風扇,1150,戶外休閒,這款高質感隨身風扇兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_outdoor.png
p010,速乾客製化相框,1200,禮品精選,這款速乾客製化相框兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_gift.png
p011,多功能桌墊,2100,辦公文具,這款多功能桌墊兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_office.png
p012,防潑水洗面乳,1750,美容保養,這款防潑水洗面乳兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_beauty.png
p013,頂級收納盒,1950,居家生活,這款頂級收納盒兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_home.png
p014,便攜行動電源,1250,科技酷玩,這款便攜行動電源兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_tech.png
p015,復古運動毛巾,2000,戶外休閒,這款復古運動毛巾兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_outdoor.png
p016,智能鋼筆套組,1500,禮品精選,這款智能鋼筆套組兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_gift.png
p017,便攜剪刀,2150,辦公文具,這款便攜剪刀兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_office.png
p018,防潑水洗面乳,1600,美容保養,這款防潑水洗面乳兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_beauty.png
p019,輕量辦公椅,1600,居家生活,這款輕量辦公椅兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_home.png
p020,速乾滑鼠,1950,科技酷玩,這款速乾滑鼠兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_tech.png
p021,極簡太陽眼鏡,600,戶外休閒,這款極簡太陽眼鏡兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_outdoor.png
p022,頂級手工皂,650,禮品精選,這款頂級手工皂兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_gift.png
p023,頂級剪刀,2100,辦公文具,這款頂級剪刀兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_office.png
p024,頂級防曬乳,300,美容保養,這款頂級防曬乳兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_beauty.png
p025,極簡抱枕,2100,居家生活,這款極簡抱枕兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_home.png
p026,多功能充電座,2150,科技酷玩,這款多功能充電座兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_tech.png
p027,輕量防水袋,750,戶外休閒,這款輕量防水袋兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_outdoor.png
p028,人體工學鋼筆套組,1200,禮品精選,這款人體工學鋼筆套組兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_gift.png
p029,無線筆記本,1700,辦公文具,這款無線筆記本兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_office.png
p030,高質感沐浴乳,2150,美容保養,這款高質感沐浴乳兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_beauty.png
p031,無線辦公椅,1050,居家生活,這款無線辦公椅兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_home.png
p032,高質感智慧手錶,300,科技酷玩,這款高質感智慧手錶兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_tech.png
p033,無線後背包,900,戶外休閒,這款無線後背包兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_outdoor.png
p034,極簡客製化相框,1150,禮品精選,這款極簡客製化相框兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_gift.png
p035,輕量中性筆,1500,辦公文具,這款輕量中性筆兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_office.png
p036,天然化妝水,1500,美容保養,這款天然化妝水兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_beauty.png
p037,無線氣氛燈,1850,居家生活,這款無線氣氛燈兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_home.png
p038,速乾平板支架,2150,科技酷玩,這款速乾平板支架兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_tech.png
p039,復古後背包,1850,戶外休閒,這款復古後背包兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_outdoor.png
p040,輕量客製化相框,1900,禮品精選,這款輕量客製化相框兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_gift.png
p041,便攜筆筒,300,辦公文具,這款便攜筆筒兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_office.png
p042,高質感護手霜,1200,美容保養,這款高質感護手霜兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_beauty.png
p043,人體工學抱枕,450,居家生活,這款人體工學抱枕兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_home.png
p044,無線行動電源,1050,科技酷玩,這款無線行動電源兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_tech.png
p045,輕量太陽眼鏡,700,戶外休閒,這款輕量太陽眼鏡兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_outdoor.png
p046,速乾茶葉禮盒,1800,禮品精選,這款速乾茶葉禮盒兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_gift.png
p047,天然中性筆,500,辦公文具,這款天然中性筆兼具美感與實用性，絕對是您不可或缺的好物。,https://ryoasisyphus.github.io/raccoon-ai-chatbot/static/images/cat_office.png
